OutLA,count
S92000003,18935
E08000025,14601
E08000035,11541
E08000003,10617
E09000032,10288
E09000009,9875
E09000008,9651
E09000003,9601
E06000023,9416
E09000017,9396
E09000022,9304
E09000028,9290
E06000054,9229
E09000025,9162
E08000019,9121
E09000023,8970
E09000005,8727
E06000052,8584
E09000010,8444
E09000014,8430
E09000026,8404
E09000018,8376
E09000031,8245
E06000018,8235
E06000043,8043
E09000011,7978
E09000006,7958
E09000030,7885
E08000026,7539
W06000015,7522
E08000012,7492
E06000016,7466
E09000007,7263
E09000015,7231
E09000024,7115
E09000019,7094
E09000027,7003
E09000012,7001
E06000045,6929
E08000032,6877
E06000056,6729
E09000013,6637
E09000033,6637
E07000178,6539
E09000021,6473
E09000002,6449
E06000047,6444
E06000049,6406
E06000035,6387
E06000042,6365
E06000038,6316
E08000021,6229
E06000032,6192
E06000028,6161
E07000154,5997
E09000016,5910
E07000007,5833
E06000044,5819
E06000026,5809
E07000008,5808
E08000034,5787
E09000029,5777
E06000014,5745
E06000050,5696
E09000004,5634
E07000209,5604
E08000006,5599
E06000015,5515
E06000022,5474
E06000051,5380
E07000106,5326
E07000130,5305
E06000025,5215
E07000004,5215
E07000071,5185
E06000040,5025
N92000002,4966
E06000011,4931
E06000041,4931
E07000241,4922
E06000039,4902
E07000084,4743
E07000240,4678
E09000020,4666
E06000031,4662
E07000207,4644
E08000028,4621
E08000031,4609
E08000001,4595
E06000055,4593
E06000034,4581
E07000211,4536
E07000094,4534
E07000096,4532
E07000011,4493
E07000148,4492
E08000007,4469
W06000011,4462
E07000066,4424
E07000012,4423
E07000041,4422
E07000070,4395
E06000037,4386
E07000177,4386
E08000030,4374
E07000242,4349
E07000222,4312
E06000021,4294
E07000121,4294
E07000179,4266
E07000216,4246
E06000033,4224
E07000212,4217
E06000024,4215
E08000009,4214
E07000072,4185
E06000030,4150
E08000027,4092
E08000017,4086
E07000180,4077
E07000123,4056
E08000010,4010
E08000029,4007
E07000228,3993
E07000110,3985
E07000189,3976
E07000217,3946
E07000091,3906
E06000019,3892
E07000098,3887
E07000225,3881
E08000036,3879
E06000036,3872
E06000010,3871
E07000092,3857
E07000103,3831
E07000078,3804
E06000029,3761
E07000099,3734
E07000227,3709
E08000005,3675
E07000111,3656
E08000004,3646
E07000141,3644
E07000138,3635
E07000137,3628
E07000067,3624
E07000085,3591
E07000065,3583
E06000020,3572
E07000165,3566
E07000213,3564
E06000007,3533
E08000014,3532
E07000221,3529
E08000015,3503
E08000002,3479
E08000008,3473
E07000224,3441
E06000057,3433
E08000033,3432
E07000115,3379
E07000214,3349
E07000093,3340
E07000197,3338
E06000009,3319
E07000102,3313
E07000146,3304
E08000018,3291
E07000176,3285
E07000116,3268
E07000005,3242
E07000079,3230
E07000210,3230
E07000089,3214
W06000008,3209
W06000002,3204
E07000208,3197
E07000105,3194
E07000237,3177
E07000113,3175
E07000040,3159
E07000226,3129
E07000143,3122
E07000114,3119
W06000016,3106
E06000027,3100
E07000107,3098
E06000004,3089
E07000202,3060
E07000238,3060
E07000181,3056
E07000076,3046
E07000095,3038
E07000081,3036
E07000215,3028
E07000109,3020
E07000052,2972
E07000172,2972
E07000195,2972
E07000175,2966
E07000190,2960
E07000061,2949
E06000002,2939
E07000204,2932
W06000023,2923
E08000016,2920
E07000187,2909
E08000024,2903
E06000008,2900
E07000220,2893
E07000006,2891
W06000022,2888
E07000139,2870
E07000077,2864
E07000087,2864
E07000086,2858
E07000149,2855
E07000155,2851
W06000010,2821
E06000046,2800
E07000045,2786
E07000219,2736
E07000082,2727
E07000229,2726
E07000073,2725
E07000205,2725
E06000013,2721
E07000188,2721
E07000127,2718
E07000193,2709
E07000194,2673
E07000243,2661
E07000142,2640
E07000153,2620
E07000152,2609
E07000068,2606
E07000151,2595
E07000010,2585
E08000037,2583
E07000168,2575
E07000112,2559
E07000031,2557
E07000064,2552
E07000032,2543
E07000131,2534
E07000090,2533
E07000203,2525
E08000013,2524
E07000009,2514
E07000050,2510
E07000063,2492
E07000132,2479
E07000196,2452
E07000234,2449
E07000134,2441
E07000039,2428
E07000062,2423
E06000012,2418
E07000108,2414
E07000083,2408
E07000128,2408
E07000043,2400
E07000200,2392
E07000170,2381
E07000049,2380
W06000003,2377
W06000021,2373
E07000171,2371
E07000173,2362
E07000036,2353
E07000164,2339
E07000206,2323
E07000235,2314
E07000118,2293
E08000022,2289
W06000018,2289
E07000037,2288
E07000144,2253
E07000080,2248
E07000088,2247
W06000006,2236
E07000044,2235
E07000069,2228
E07000156,2214
E07000129,2212
E07000147,2211
E07000145,2210
W06000005,2207
E07000140,2174
W06000009,2158
E07000042,2153
E07000028,2128
E07000126,2082
W06000004,2077
W06000014,2076
E07000239,2035
E07000119,2032
W06000013,1998
E07000169,1989
E07000122,1968
E06000006,1962
E08000011,1959
E07000166,1944
E07000033,1939
E07000174,1937
E06000005,1936
E07000038,1933
W06000012,1933
E07000035,1931
E07000117,1927
E07000034,1902
E07000192,1898
E07000125,1880
E06000003,1866
E07000120,1865
E07000075,1857
E07000201,1835
E07000236,1833
E07000074,1825
E07000199,1802
E07000135,1769
E07000198,1740
E07000047,1732
E07000136,1722
E07000218,1718
E07000046,1717
E08000023,1665
E07000053,1661
E07000124,1658
E07000223,1643
E07000026,1584
E06000017,1563
E07000150,1563
E07000163,1497
E07000167,1471
E07000133,1458
E07000051,1425
W06000001,1414
W06000020,1411
E07000048,1374
E07000030,1359
E06000001,1291
E07000027,1183
E07000191,1182
E07000029,1138
W06000019,1073
W06000024,918
E09000001,555
E06000053,149
