areaCode,areaName,Geography1,population,county,govt_region,bbc_radio_station,bbc_region,bbc_online,bbc_region_old
K02000001,UNITED KINGDOM,Country,66796807,NA,NA,NA,NA,NA,NA
K03000001,GREAT BRITAIN,Country,64903140,NA,NA,NA,NA,NA,NA
K04000001,ENGLAND AND WALES,Country,59439840,NA,NA,NA,NA,NA,NA
E92000001,ENGLAND,Country,56286961,NA,NA,NA,NA,NA,NA
N92000002,NORTHERN IRELAND,Country,1893667,NA,NA,NA,NA,NA,NA
S92000003,SCOTLAND,Country,5463300,NA,NA,NA,NA,NA,NA
W92000004,WALES,Country,3152879,NA,NA,NA,NA,NA,NA
E12000001,NORTH EAST,Region,2669941,NA,NA,NA,NA,NA,NA
E06000047,County Durham,Unitary Authority,530094,County Durham,North East,BBC Newcastle,North East,Tyne and Wear,North East
E06000005,Darlington,Unitary Authority,106803,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000001,Hartlepool,Unitary Authority,93663,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000002,Middlesbrough,Unitary Authority,140980,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000057,Northumberland,Unitary Authority,322434,Northumberland,North East,BBC Newcastle,North East,Tyne and Wear,North East
E06000003,Redcar and Cleveland,Unitary Authority,137150,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000004,Stockton-on-Tees,Unitary Authority,197348,Tees Valley,North East,BBC Tees,North East,Tees,North East
E11000007,Tyne and Wear (Met County),Metropolitan County,1141469,NA,NA,NA,NA,NA,NA
E08000037,Gateshead,Metropolitan District,202055,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000021,Newcastle upon Tyne,Metropolitan District,302820,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000022,North Tyneside,Metropolitan District,207913,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000023,South Tyneside,Metropolitan District,150976,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000024,Sunderland,Metropolitan District,277705,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E12000002,NORTH WEST,Region,7341196,NA,NA,NA,NA,NA,NA
E06000008,Blackburn with Darwen,Unitary Authority,149696,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E06000009,Blackpool,Unitary Authority,139446,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E06000049,Cheshire East,Unitary Authority,384152,Cheshire,North West,BBC Radio Stoke,North West,Liverpool,North West
E06000050,Cheshire West and Chester,Unitary Authority,343071,Cheshire,North West,BBC Radio Merseyside,North West,Liverpool,North West
E06000006,Halton,Unitary Authority,129410,Liverpool City Region,North West,BBC Radio Merseyside,North West,Liverpool,North West
E06000007,Warrington,Unitary Authority,210014,Cheshire,North West,BBC Radio Merseyside,North West,Liverpool,North West
E07000004,Aylesbury Vale,Non-metropolitan District,203219,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000005,Chiltern,Non-metropolitan District,96046,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000006,South Bucks,Non-metropolitan District,70440,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000007,Wycombe,Non-metropolitan District,174268,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000008,Cambridge,Non-metropolitan District,124798,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E07000009,East Cambridgeshire,Non-metropolitan District,89840,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E07000010,Fenland,Non-metropolitan District,101850,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E11000001,Greater Manchester (Met County),Metropolitan County,2835686,NA,NA,NA,NA,NA,NA
E08000001,Bolton,Metropolitan District,287550,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000002,Bury,Metropolitan District,190990,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000003,Manchester,Metropolitan District,552858,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000004,Oldham,Metropolitan District,237110,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000005,Rochdale,Metropolitan District,222412,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000006,Salford,Metropolitan District,258834,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000007,Stockport,Metropolitan District,293423,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000008,Tameside,Metropolitan District,226493,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000009,Trafford,Metropolitan District,237354,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000010,Wigan,Metropolitan District,328662,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E07000011,Huntingdonshire,Non-metropolitan District,177963,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E07000012,South Cambridgeshire,Non-metropolitan District,159086,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E07000026,Allerdale,Non-metropolitan District,97761,Cumbria,North West,BBC Radio Cumbria,North East,Cumbria,North West
E07000027,Barrow-in-Furness,Non-metropolitan District,67049,Cumbria,North West,BBC Radio Cumbria,North West,Cumbria,North West
E07000028,Carlisle,Non-metropolitan District,108678,Cumbria,North West,BBC Radio Cumbria,North East,Cumbria,North West
E07000029,Copeland,Non-metropolitan District,68183,Cumbria,North West,BBC Radio Cumbria,North East,Cumbria,North West
E07000030,Eden,Non-metropolitan District,53253,Cumbria,North West,BBC Radio Cumbria,North West,Cumbria,North West
E07000031,South Lakeland,Non-metropolitan District,105088,Cumbria,North West,BBC Radio Cumbria,North West,Cumbria,North West
E07000032,Amber Valley,Non-metropolitan District,128147,Derbyshire,East Midlands,BBC Radio Derby,East Midlands,Derby,East Midlands
E07000033,Bolsover,Non-metropolitan District,80562,Derbyshire,East Midlands,BBC Radio Derby,BBC Yorkshire,Derby,East Midlands
E07000034,Chesterfield,Non-metropolitan District,104900,Derbyshire,East Midlands,BBC Radio Sheffield,BBC Yorkshire,Derby,East Midlands
E07000035,Derbyshire Dales,Non-metropolitan District,72325,Derbyshire,East Midlands,BBC Radio Derby,East Midlands,Derby,East Midlands
E07000036,Erewash,Non-metropolitan District,115371,Derbyshire,East Midlands,BBC Radio Derby,East Midlands,Derby,East Midlands
E11000002,Merseyside (Met County),Metropolitan County,1429910,NA,NA,NA,NA,NA,NA
E08000011,Knowsley,Metropolitan District,150862,Liverpool City Region,North West,BBC Radio Merseyside,North West,Liverpool,North West
E08000012,Liverpool,Metropolitan District,498042,Liverpool City Region,North West,BBC Radio Merseyside,North West,Liverpool,North West
E08000014,Sefton,Metropolitan District,276410,Liverpool City Region,North West,BBC Radio Merseyside,North West,Liverpool,North West
E08000013,St. Helens,Metropolitan District,180585,Liverpool City Region,North West,BBC Radio Merseyside,North West,Liverpool,North West
E08000015,Wirral,Metropolitan District,324011,Liverpool City Region,North West,BBC Radio Merseyside,North West,Liverpool,North West
E12000003,YORKSHIRE AND THE HUMBER,Region,5502967,NA,NA,NA,NA,NA,NA
E06000011,East Riding of Yorkshire,Unitary Authority,341173,East Riding of Yorkshire,Yorkshire and the Humber,BBC Radio Humberside,East Yorkshire and Lincolnshire,Humberside,East Yorkshire and Lincolnshire
E06000010,"Kingston upon Hull, City of",Unitary Authority,259778,East Riding of Yorkshire,Yorkshire and the Humber,BBC Radio Humberside,East Yorkshire and Lincolnshire,Humberside,East Yorkshire and Lincolnshire
E06000012,North East Lincolnshire,Unitary Authority,159563,Lincolnshire,Yorkshire and the Humber,BBC Radio Humberside,East Yorkshire and Lincolnshire,Humberside,East Yorkshire and Lincolnshire
E06000013,North Lincolnshire,Unitary Authority,172292,Lincolnshire,Yorkshire and the Humber,BBC Radio Humberside,East Yorkshire and Lincolnshire,Humberside,East Yorkshire and Lincolnshire
E06000014,York,Unitary Authority,210618,North Yorkshire,Yorkshire and the Humber,BBC Radio York,BBC Yorkshire,York & North Yorkshire,Yorkshire
E07000037,High Peak,Non-metropolitan District,92666,Derbyshire,East Midlands,BBC Radio Derby,East Midlands,Derby,East Midlands
E07000038,North East Derbyshire,Non-metropolitan District,101462,Derbyshire,East Midlands,BBC Radio Sheffield,BBC Yorkshire,Derby,East Midlands
E07000039,South Derbyshire,Non-metropolitan District,107261,Derbyshire,East Midlands,BBC Radio Derby,East Midlands,Derby,East Midlands
E07000040,East Devon,Non-metropolitan District,146284,Devon,South West,BBC Radio Devon,South West,Devon,South West
E07000041,Exeter,Non-metropolitan District,131405,Devon,South West,BBC Radio Devon,South West,Devon,South West
E07000042,Mid Devon,Non-metropolitan District,82311,Devon,South West,BBC Radio Devon,South West,Devon,South West
E07000043,North Devon,Non-metropolitan District,97145,Devon,South West,BBC Radio Devon,South West,Devon,South West
E07000044,South Hams,Non-metropolitan District,87004,Devon,South West,BBC Radio Devon,South West,Devon,South West
E11000003,South Yorkshire (Met County),Metropolitan County,1409020,NA,NA,NA,NA,NA,NA
E08000016,Barnsley,Metropolitan District,246866,South Yorkshire,Yorkshire and the Humber,BBC Radio Sheffield,BBC Yorkshire,Sheffield and South Yorkshire,Yorkshire
E08000017,Doncaster,Metropolitan District,311890,South Yorkshire,Yorkshire and the Humber,BBC Radio Sheffield,BBC Yorkshire,Sheffield and South Yorkshire,Yorkshire
E08000018,Rotherham,Metropolitan District,265411,South Yorkshire,Yorkshire and the Humber,BBC Radio Sheffield,BBC Yorkshire,Sheffield and South Yorkshire,Yorkshire
E08000019,Sheffield,Metropolitan District,584853,South Yorkshire,Yorkshire and the Humber,BBC Radio Sheffield,BBC Yorkshire,Sheffield and South Yorkshire,Yorkshire
E11000006,West Yorkshire (Met County),Metropolitan County,2332469,NA,NA,NA,NA,NA,NA
E08000032,Bradford,Metropolitan District,539776,West Yorkshire,Yorkshire and the Humber,BBC Radio Leeds,BBC Yorkshire,Leeds and West Yorkshire,Yorkshire
E08000033,Calderdale,Metropolitan District,211455,West Yorkshire,Yorkshire and the Humber,BBC Radio Leeds,BBC Yorkshire,Leeds and West Yorkshire,Yorkshire
E08000034,Kirklees,Metropolitan District,439787,West Yorkshire,Yorkshire and the Humber,BBC Radio Leeds,BBC Yorkshire,Leeds and West Yorkshire,Yorkshire
E08000035,Leeds,Metropolitan District,793139,West Yorkshire,Yorkshire and the Humber,BBC Radio Leeds,BBC Yorkshire,Leeds and West Yorkshire,Yorkshire
E08000036,Wakefield,Metropolitan District,348312,West Yorkshire,Yorkshire and the Humber,BBC Radio Leeds,BBC Yorkshire,Leeds and West Yorkshire,Yorkshire
E12000004,EAST MIDLANDS,Region,4835928,NA,NA,NA,NA,NA,NA
E06000015,Derby,Unitary Authority,257302,Derbyshire,East Midlands,BBC Radio Derby,East Midlands,Derby,East Midlands
E06000016,Leicester,Unitary Authority,354224,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E06000018,Nottingham,Unitary Authority,332900,Nottinghamshire,East Midlands,BBC Radio Nottingham,East Midlands,Nottingham,East Midlands
E06000017,Rutland,Unitary Authority,39927,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000045,Teignbridge,Non-metropolitan District,134163,Devon,South West,BBC Radio Devon,South West,Devon,South West
E07000046,Torridge,Non-metropolitan District,68267,Devon,South West,BBC Radio Devon,South West,Devon,South West
E07000047,West Devon,Non-metropolitan District,55796,Devon,South West,BBC Radio Devon,South West,Devon,South West
E07000061,Eastbourne,Non-metropolitan District,103745,East Sussex,South East,BBC Sussex,South East,Sussex,South East
E07000062,Hastings,Non-metropolitan District,92661,East Sussex,South East,BBC Sussex,South East,Sussex,South East
E07000063,Lewes,Non-metropolitan District,103268,East Sussex,South East,BBC Sussex,South East,Sussex,South East
E07000064,Rother,Non-metropolitan District,96080,East Sussex,South East,BBC Sussex,South East,Sussex,South East
E07000065,Wealden,Non-metropolitan District,161475,East Sussex,South East,BBC Sussex,South East,Sussex,South East
E07000066,Basildon,Non-metropolitan District,187199,Essex,East,BBC Essex,BBC East,Essex,East
E07000067,Braintree,Non-metropolitan District,152604,Essex,East,BBC Essex,BBC East,Essex,East
E07000068,Brentwood,Non-metropolitan District,77021,Essex,East,BBC Essex,BBC East,Essex,East
E07000069,Castle Point,Non-metropolitan District,90376,Essex,East,BBC Essex,BBC East,Essex,East
E07000070,Chelmsford,Non-metropolitan District,178388,Essex,East,BBC Essex,BBC East,Essex,East
E07000071,Colchester,Non-metropolitan District,194706,Essex,East,BBC Essex,BBC East,Essex,East
E07000072,Epping Forest,Non-metropolitan District,131689,Essex,East,BBC Essex,BBC East,Essex,East
E07000073,Harlow,Non-metropolitan District,87067,Essex,East,BBC Essex,BBC East,Essex,East
E07000074,Maldon,Non-metropolitan District,64926,Essex,East,BBC Essex,BBC East,Essex,East
E07000075,Rochford,Non-metropolitan District,87368,Essex,East,BBC Essex,BBC East,Essex,East
E07000076,Tendring,Non-metropolitan District,146561,Essex,East,BBC Essex,BBC East,Essex,East
E07000077,Uttlesford,Non-metropolitan District,91284,Essex,East,BBC Essex,BBC East,Essex,East
E07000078,Cheltenham,Non-metropolitan District,116306,Gloucestershire,South West,BBC Radio Gloucestershire,BBC West,Gloucestershire,West
E07000079,Cotswold,Non-metropolitan District,89862,Gloucestershire,South West,BBC Radio Gloucestershire,BBC West,Gloucestershire,West
E07000080,Forest of Dean,Non-metropolitan District,86791,Gloucestershire,South West,BBC Radio Gloucestershire,BBC West,Gloucestershire,West
E07000081,Gloucester,Non-metropolitan District,129128,Gloucestershire,South West,BBC Radio Gloucestershire,BBC West,Gloucestershire,West
E07000082,Stroud,Non-metropolitan District,119964,Gloucestershire,South West,BBC Radio Gloucestershire,BBC West,Gloucestershire,West
E07000083,Tewkesbury,Non-metropolitan District,95019,Gloucestershire,South West,BBC Radio Gloucestershire,BBC West,Gloucestershire,West
E07000084,Basingstoke and Deane,Non-metropolitan District,176582,Hampshire,South East,BBC Radio Berkshire,BBC South,Berkshire,South
E07000085,East Hampshire,Non-metropolitan District,122308,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000086,Eastleigh,Non-metropolitan District,133584,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000087,Fareham,Non-metropolitan District,116233,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000088,Gosport,Non-metropolitan District,84838,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000089,Hart,Non-metropolitan District,97073,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000090,Havant,Non-metropolitan District,126220,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000091,New Forest,Non-metropolitan District,180086,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000092,Rushmoor,Non-metropolitan District,94599,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000093,Test Valley,Non-metropolitan District,126160,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000094,Winchester,Non-metropolitan District,124859,Hampshire,South East,BBC Radio Solent,BBC South,Hampshire & Isle of Wight,South
E07000095,Broxbourne,Non-metropolitan District,97279,Hertfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000096,Dacorum,Non-metropolitan District,154763,Hertfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000098,Hertsmere,Non-metropolitan District,104919,Hertfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000099,North Hertfordshire,Non-metropolitan District,133570,Hertfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E12000005,WEST MIDLANDS,Region,5934037,NA,NA,NA,NA,NA,NA
E06000019,"Herefordshire, County of",Unitary Authority,192801,Herefordshire,West Midlands,BBC Hereford and Worcester,West Midlands,Hereford and Worcester,West Midlands
E06000051,Shropshire,Unitary Authority,323136,Shropshire,West Midlands,BBC Radio Shropshire,West Midlands,Shropshire,West Midlands
E06000021,Stoke-on-Trent,Unitary Authority,256375,Staffordshire,West Midlands,BBC Radio Stoke,West Midlands,Stoke and Staffordshire,West Midlands
E06000020,Telford and Wrekin,Unitary Authority,179854,Shropshire,West Midlands,BBC Radio Shropshire,West Midlands,Shropshire,West Midlands
E07000102,Three Rivers,Non-metropolitan District,93323,Hertfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000103,Watford,Non-metropolitan District,96577,Hertfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000105,Ashford,Non-metropolitan District,130032,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000106,Canterbury,Non-metropolitan District,165394,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000107,Dartford,Non-metropolitan District,112606,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000108,Dover,Non-metropolitan District,118131,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000109,Gravesham,Non-metropolitan District,106939,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000110,Maidstone,Non-metropolitan District,171826,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000111,Sevenoaks,Non-metropolitan District,120750,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000112,Folkestone and Hythe,Non-metropolitan District,112996,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000113,Swale,Non-metropolitan District,150082,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000114,Thanet,Non-metropolitan District,141922,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000115,Tonbridge and Malling,Non-metropolitan District,132153,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000116,Tunbridge Wells,Non-metropolitan District,118724,Kent,South East,BBC Radio Kent,South East,Kent,South East
E07000117,Burnley,Non-metropolitan District,88920,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E11000005,West Midlands (Met County),Metropolitan County,2928592,NA,NA,NA,NA,NA,NA
E08000025,Birmingham,Metropolitan District,1141816,West Midlands,West Midlands,BBC WM,West Midlands,Birmingham and Black Country,West Midlands
E08000026,Coventry,Metropolitan District,371521,West Midlands,West Midlands,BBC Coventry and Warwickshire,West Midlands,Coventry and Warwickshire,West Midlands
E08000027,Dudley,Metropolitan District,321596,West Midlands,West Midlands,BBC WM,West Midlands,Birmingham and Black Country,West Midlands
E08000028,Sandwell,Metropolitan District,328450,West Midlands,West Midlands,BBC WM,West Midlands,Birmingham and Black Country,West Midlands
E08000029,Solihull,Metropolitan District,216374,West Midlands,West Midlands,BBC WM,West Midlands,Birmingham and Black Country,West Midlands
E08000030,Walsall,Metropolitan District,285478,West Midlands,West Midlands,BBC WM,West Midlands,Birmingham and Black Country,West Midlands
E08000031,Wolverhampton,Metropolitan District,263357,West Midlands,West Midlands,BBC WM,West Midlands,Birmingham and Black Country,West Midlands
E07000118,Chorley,Non-metropolitan District,118216,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000119,Fylde,Non-metropolitan District,80780,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000120,Hyndburn,Non-metropolitan District,81043,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000121,Lancaster,Non-metropolitan District,146038,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000122,Pendle,Non-metropolitan District,92112,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000123,Preston,Non-metropolitan District,143135,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000124,Ribble Valley,Non-metropolitan District,60888,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E12000006,EAST,Region,6236072,NA,NA,NA,NA,NA,NA
E06000055,Bedford,Unitary Authority,173292,Bedfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E06000056,Central Bedfordshire,Unitary Authority,288648,Bedfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E06000032,Luton,Unitary Authority,213052,Bedfordshire,East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E06000031,Peterborough,Unitary Authority,202259,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E06000033,Southend-on-Sea,Unitary Authority,183125,Essex,East,BBC Essex,BBC East,Essex,East
E06000034,Thurrock,Unitary Authority,174341,Essex,East,BBC Essex,BBC East,Essex,East
E07000125,Rossendale,Non-metropolitan District,71482,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000126,South Ribble,Non-metropolitan District,110788,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000127,West Lancashire,Non-metropolitan District,114306,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000128,Wyre,Non-metropolitan District,112091,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E07000129,Blaby,Non-metropolitan District,101526,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000130,Charnwood,Non-metropolitan District,185851,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000131,Harborough,Non-metropolitan District,93807,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000132,Hinckley and Bosworth,Non-metropolitan District,113136,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000133,Melton,Non-metropolitan District,51209,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000134,North West Leicestershire,Non-metropolitan District,103611,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000135,Oadby and Wigston,Non-metropolitan District,57015,Leicestershire,East Midlands,BBC Radio Leicester,East Midlands,Leicester,East Midlands
E07000136,Boston,Non-metropolitan District,70173,Lincolnshire,East Midlands,BBC Lincolnshire,East Yorkshire and Lincolnshire,Lincolnshire,East Yorkshire and Lincolnshire
E07000137,East Lindsey,Non-metropolitan District,141727,Lincolnshire,East Midlands,BBC Lincolnshire,East Yorkshire and Lincolnshire,Lincolnshire,East Yorkshire and Lincolnshire
E07000138,Lincoln,Non-metropolitan District,99299,Lincolnshire,East Midlands,BBC Lincolnshire,East Yorkshire and Lincolnshire,Lincolnshire,East Yorkshire and Lincolnshire
E07000139,North Kesteven,Non-metropolitan District,116915,Lincolnshire,East Midlands,BBC Lincolnshire,East Yorkshire and Lincolnshire,Lincolnshire,East Yorkshire and Lincolnshire
E07000140,South Holland,Non-metropolitan District,95019,Lincolnshire,East Midlands,BBC Lincolnshire,East Yorkshire and Lincolnshire,Lincolnshire,East Yorkshire and Lincolnshire
E07000141,South Kesteven,Non-metropolitan District,142424,Lincolnshire,East Midlands,BBC Lincolnshire,East Yorkshire and Lincolnshire,Lincolnshire,East Yorkshire and Lincolnshire
E07000142,West Lindsey,Non-metropolitan District,95667,Lincolnshire,East Midlands,BBC Lincolnshire,East Yorkshire and Lincolnshire,Lincolnshire,East Yorkshire and Lincolnshire
E07000143,Breckland,Non-metropolitan District,139968,Norfolk,East,BBC Radio Norfolk,BBC East,Norfolk,East
E07000144,Broadland,Non-metropolitan District,130783,Norfolk,East,BBC Radio Norfolk,BBC East,Norfolk,East
E07000145,Great Yarmouth,Non-metropolitan District,99336,Norfolk,East,BBC Radio Norfolk,BBC East,Norfolk,East
E07000146,King's Lynn and West Norfolk,Non-metropolitan District,151383,Norfolk,East,BBC Radio Norfolk,BBC East,Norfolk,East
E07000147,North Norfolk,Non-metropolitan District,104837,Norfolk,East,BBC Radio Norfolk,BBC East,Norfolk,East
E07000148,Norwich,Non-metropolitan District,140573,Norfolk,East,BBC Radio Norfolk,BBC East,Norfolk,East
