Count of Class name,Column Labels,,,,,,,,,,,,,,,
Row Labels,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Grand Total
B-1,,,,,,,27,31,11,40,39,29,27,35,11,250
B-10,,,,,,,,,,,14,83,65,73,15,250
B-101,,,,14,,23,14,25,6,56,30,33,16,11,22,250
B-102,,,,,,,,14,29,22,47,34,42,47,15,250
B-103,,,,,,,,,13,13,47,30,63,55,29,250
B-104,,1,8,,46,37,18,43,11,11,33,3,21,14,4,250
B-105,,,,,,,,,7,68,32,18,37,50,38,250
B-106,,,,,,,15,11,23,53,12,48,36,41,11,250
B-107,,,,,,,,5,39,27,26,53,81,14,5,250
B-108,,,,,,,,,,34,24,27,85,55,25,250
B-109,,,,,,,,7,58,34,62,16,30,43,,250
B-11,,,,,,,,,,24,67,48,15,61,35,250
B-110,,,,,,,,30,4,12,55,88,32,21,8,250
B-111,,,,,,,,,30,28,21,81,19,39,32,250
B-112,,,,,,,14,46,42,33,13,20,14,21,47,250
B-113,,,,,,,8,67,38,32,20,37,28,14,6,250
B-114,,,,,,,24,32,37,25,32,25,20,44,11,250
B-115,,,,,,,,,3,33,60,35,37,55,27,250
B-116,,,,,,,,,,49,38,48,29,67,19,250
B-117,,,,,,,1,28,19,54,58,38,26,18,8,250
B-118,,,,,,,,1,51,18,36,24,60,57,3,250
B-119,,,,,,,,6,23,37,44,69,55,12,4,250
B-12,,,,,,,,,,,28,106,72,25,19,250
B-120,,,,,32,13,32,24,31,50,,30,3,35,,250
B-121,,,,,,,,1,35,48,39,50,48,25,4,250
B-122,,,,,,,15,7,51,26,24,36,34,19,38,250
B-123,,,,,,,,22,35,28,72,38,27,23,5,250
B-124,,,,,,,,35,37,15,34,44,31,38,16,250
B-125,,,,,,,,23,26,21,54,41,36,45,4,250
B-126,,,,,,,14,41,31,75,22,16,30,14,7,250
B-127,,,,,,,,35,26,39,13,17,36,54,30,250
B-128,,,,,,,,,86,39,12,48,15,47,3,250
B-129,,,,,,10,36,25,30,,20,30,61,38,,250
B-13,,,,,,,,,,21,44,77,76,26,6,250
B-130,,,,,,,,73,12,40,15,20,29,58,3,250
B-131,,,,,,9,27,43,16,62,30,13,32,8,10,250
B-132,,,,,,,,12,85,27,7,31,30,34,24,250
B-133,,,,,,,,,26,71,32,23,35,28,35,250
B-134,,,,,,,14,54,32,45,25,12,36,16,16,250
B-135,,,,,,,14,26,43,31,24,13,48,34,17,250
B-136,,,,,,,,11,12,35,76,14,11,65,26,250
B-137,,,,,,,,,8,38,45,72,27,44,16,250
B-138,,,,,,,,,,,14,98,33,72,33,250
B-139,,,,,,,,,13,57,40,69,30,41,,250
B-14,,,,,,,,,,,55,44,47,89,15,250
B-140,,,,,,,,,,,107,21,24,66,32,250
B-141,,,,,,,,,,27,52,61,19,45,46,250
B-142,,,,,,,,,,,40,43,63,64,40,250
B-143,,,,,,,,,18,55,39,29,22,54,33,250
B-144,,,,,,,,,,,14,94,51,49,42,250
B-145,,,,,3,15,16,25,30,7,13,43,41,44,13,250
B-146,,,,,,,,25,32,23,23,14,27,63,43,250
B-147,,,,,,,11,14,28,30,54,23,31,45,14,250
B-148,,,,,,,,,69,28,39,24,37,25,28,250
B-149,,,,,,,,,51,44,17,47,25,28,38,250
B-15,,,,,,,,,,29,23,65,77,42,14,250
B-150,,,,,,,,,,9,57,65,49,22,48,250
B-151,,,,,,,,,,16,16,105,47,52,14,250
B-152,,,,,,,,,,13,65,31,65,54,22,250
B-153,,,,,,,,,,,,64,98,53,35,250
B-154,,,,,,,,,12,49,10,28,85,52,14,250
B-155,,,,,,,,,9,72,30,43,45,33,18,250
B-156,,,,,,,,,23,33,30,64,24,42,34,250
B-157,,,,,,,,5,48,30,18,26,34,62,27,250
B-158,,,,,,,,,53,40,28,38,29,22,40,250
B-159,,,,,,,,40,30,22,69,10,35,19,25,250
B-16,,,,,,,,,,11,71,62,25,56,25,250
B-160,,,,,,,,,,,,28,124,56,42,250
B-161,,,,,,,,,,,16,91,56,51,36,250
B-162,,,,,,,,,28,29,3,46,65,47,32,250
B-163,,,,,,,,,,,91,29,53,65,12,250
B-164,,,,,,,,,,,,69,55,67,59,250
B-165,,,,,,,,,,20,7,68,57,31,67,250
B-166,,,,,,,,,20,63,49,38,27,25,28,250
B-167,,,,,,,,,,25,29,34,48,82,32,250
B-168,,,,,,,,,26,85,18,24,22,68,7,250
B-169,,,,,,,27,21,37,8,45,33,33,28,18,250
B-17,,,,,,,,,,57,43,35,50,53,12,250
B-170,,,,,,,,,,6,80,25,75,50,14,250
B-171,,,,,,,,,,48,42,70,12,30,48,250
B-172,,,,,,,,,,,48,25,23,94,60,250
B-173,,,,,,,,,26,33,22,23,39,77,30,250
B-174,,,,,,,,,,,,59,96,87,8,250
B-175,,,,,,,,,2,81,19,53,35,48,12,250
B-176,,,,,,,,,,,,106,65,64,15,250
B-177,,,,,,,,,,,4,65,64,74,43,250
B-178,,,,,,,,,,,,,85,78,87,250
B-179,,,,,,,,,,,51,50,24,77,48,250
B-18,,,,,,,,,,,23,83,19,97,28,250
B-180,,,,,,,,,,,39,52,53,70,36,250
B-181,,,,,,,,,,16,33,47,93,32,29,250
B-182,,,,,,,,,,,23,74,59,63,31,250
B-183,,,,,,,,,,,,45,96,85,24,250
B-184,,,,,,,,,11,47,71,48,17,38,18,250
B-185,,,,,,,,,,,,66,98,58,28,250
B-186,,,,,,,,,4,71,14,51,47,47,16,250
B-187,,,,,,,,,,,90,32,44,42,42,250
B-188,,,,,,,,,,,50,44,75,52,29,250
B-189,,,,,,,,,11,53,69,38,51,17,11,250
B-19,,,,,,,,,6,90,46,38,33,19,18,250
B-190,,,,,,,,,,,,58,32,92,68,250
B-191,,,,,,,,,,64,69,23,39,16,39,250
B-192,,,,,21,15,24,22,28,29,4,20,9,68,10,250
B-193,,,,,,,,,5,45,50,28,30,46,46,250
B-194,,,,,,,,,,17,19,73,45,78,18,250
B-195,10,11,13,,7,21,24,10,21,23,28,21,11,12,38,250
B-196,,,,,,,,,,,18,70,67,39,56,250
B-197,,,,,,,,10,21,63,21,59,22,25,29,250
B-198,,,,,,,,48,39,49,12,5,37,48,12,250
B-2,,,,25,40,26,19,4,29,24,7,19,24,30,3,250
B-20,,,,,,,,,,,,89,92,32,37,250
B-21,,,,,,,,,,,14,119,59,35,23,250
B-22,,,,,,,,,,,60,99,27,34,30,250
B-23,,,,,,,,,,44,93,31,33,33,16,250
B-24,,,,,,,,,,38,35,47,36,33,61,250
B-25,,,,,,,,,,4,48,76,44,29,49,250
B-26,,,,,,,,,,,20,61,74,60,35,250
B-27,,,,,,,,,,,41,33,101,57,18,250
B-28,,,,,,,,,,27,82,38,46,30,27,250
B-29,,,,,,,,,,13,55,79,49,42,12,250
B-3,,,,,,,,,9,58,75,17,31,27,33,250
B-30,,,,,,,,,,,31,102,54,30,33,250
B-31,,,,,,,,,,,72,80,49,34,15,250
B-32,,,,,,,,,,18,68,84,23,43,14,250
B-33,,,,,,,,,,26,65,77,28,33,21,250
B-34,,,,,,,,,17,54,49,21,43,43,23,250
B-35,,,,,,,,,,,35,98,39,67,11,250
B-36,,,,,,,,,,27,80,75,5,31,32,250
B-37,,,,,,,,,,20,101,49,14,52,14,250
B-38,,,,,,,,,,,40,32,87,73,18,250
B-39,,,,,,,,,,4,83,57,25,59,22,250
B-4,,,,,,,,4,59,64,33,30,18,28,14,250
B-40,,,,,,,,,,29,84,28,41,57,11,250
B-41,,,,,,,,,18,27,66,22,13,75,29,250
B-42,,,,,,,,,,,,33,95,78,44,250
B-43,,,,,,,,,,,37,28,33,122,30,250
B-44,,,,,,,,,,26,55,52,29,61,27,250
B-45,,,,,,,,,,,,55,51,108,36,250
B-46,,,,,,,,,,12,52,6,52,109,19,250
B-47,,,,,,,,,33,61,8,21,56,43,28,250
B-48,,,,,,,,,39,42,24,57,11,50,27,250
B-49,,,,,,,,,,23,65,41,14,73,34,250
B-5,,,,22,10,18,32,10,22,34,44,17,13,20,8,250
B-50,,,,,,6,34,15,28,29,39,10,44,42,3,250
B-51,,,,,,,,23,60,29,31,9,53,31,14,250
B-52,,,,19,7,,13,17,30,31,13,26,59,26,9,250
B-53,,,,,,,2,28,21,32,33,36,30,44,24,250
B-54,,,,10,,8,48,24,37,11,14,36,14,23,25,250
B-55,,,,,10,,23,34,21,38,19,11,23,41,30,250
B-56,,,,,,,1,10,79,25,28,8,17,60,22,250
B-57,,,,,,,,,26,43,59,23,28,47,24,250
B-58,,,,,,,,,,14,55,63,55,49,14,250
B-59,,,,,,,,,24,16,41,50,26,54,39,250
B-6,,,,,4,20,36,30,49,33,12,5,20,36,5,250
B-60,,,,,,,,,,,46,58,60,74,12,250
B-61,,,,,,,1,30,24,62,60,26,26,3,18,250
B-62,,,,,,,,,,41,48,23,34,85,19,250
B-63,,,,,,,,12,17,64,23,26,30,50,28,250
B-64,,,,,,,,,3,91,44,16,52,30,14,250
B-65,,,,,,,,,,65,92,9,43,17,24,250
B-66,,,,,,,,,19,60,56,32,50,14,19,250
B-67,,,,,,,,,18,56,27,45,51,26,27,250
B-68,,,,21,13,19,8,39,29,18,,43,16,34,10,250
B-69,,,,,,,,,,,87,70,45,35,13,250
B-7,,,,,,,,,,,83,47,36,53,31,250
B-70,,,,,,,,,,21,58,117,26,19,9,250
B-71,,,,,,,,,,36,60,53,48,41,12,250
B-72,,,,,,,,4,20,47,58,39,32,33,17,250
B-73,,,,,,,,,19,44,58,6,45,38,40,250
B-74,,,,,,,,,,,84,33,46,56,31,250
B-75,,,,,,,,4,35,34,27,64,31,42,13,250
B-76,,,,,,,,,,,37,86,37,70,20,250
B-8,,,,,,,,,,,24,79,64,32,51,250
B-9,,,,,,,,,20,27,57,30,63,47,6,250
Grand Total,10,12,21,111,193,240,592,1286,2572,4673,6591,7727,7316,7996,4160,43500